matn,cpc
"????? ?? ????",01376
"????? ????? ?? ????",01376
???? ??????,01376
???? ????????,01376
"???? ??????? ?? ????",01377
"???? ??????? ?? ????",01377
"???? ???????? ????? (????? ???????? ????? ????? ?????? ? ????? ??????)? ?? ????",01379
?? ?????? ?? ????,01379
???? ???????? ?? ????,01379
???? ??? ???? ?? ????,01379
???? ????? ?? ????,01379
???? ???? ?????? ?? ????,01379
???? ??? ????/????? ?? ????,01379
???? ???????? ????? ?? ????,01379
????/??? ????????? ?? ????,01379
????? ????????/????? ???? ?? ????,01379
"???? ???????? ????????? ???? ?? ??? ????",0139
"?????? ?????? (?????)? ???? Ceratonia siliqua",01391
?????? ?????? (?????),01391
"???? ???????? ????????? ???? ?? ??? ???? ",01399
????? ????,01399
??????,01399
????? ?????? ,01399
?????? ,01399
???? ??? ??????,01399
????? ????,01399
???????? ????? ? ???????? ?????,014
???? ????,0141
"???? ????? ??? ???? ?????",01411
??? ???? ????,01411
"???? ????? ??? ???? ?????",01411
"???? ????? ????",01412
???? ????,01412
????? ?????? ?? ????,0142
"????? ?????? ?? ????? ???",01421
"????? ?????? ?? ????? ???",01421
??? ????? ?????? ?? ????,01421
"????? ?????? ?? ????? ????",01422
????? ?????? ?? ????,01422
???? ????,01422
????????? ,0143
"?????????? ??? ",01431
??? ????????? ,01431
"?????????? ??? ",01431
"?????????? ????",01432
???? (??),01432
?????????,01432
???? ???????? ?????,0144
????/??? ????,01441
????,01441
??? ????,01441
???? ????,01442
???? ????,01442
"???? ???? ????? ?? ??? ????? (?????? ????)",01443
???? ???? ????? ,01443
???? ????,01443
???? ??? ????? ,01443
???? ?????,01443
???? ????,01444
???? ????,01444
??? ??????????,01445
??? ??????????,01445
???? ??????????,01445
????? (?????? ????),01446
??? ????? ,01446
?????? ???? ,01446
"???? ???????? ?????? ????????? ???? ?? ??? ????",01449
??? ?????,01449
??? ????????,01449
???? ?????? ,01449
???? ????  ,01449
????? ,0145
????? ,01450
????? ,01450
????? ??????,01450
????? ????,01450
"??????? ?? ???? ???",0146
"??????? ?? ???? ??? ",01460
"??????? ?? ????",01460
???? ???????? ?????,0149
????? ???? ? ???? ??? ?????,01491
???? ? ???? ???? ??? ????    ,01491
"???? ???????? ?????? ????????? ???? ?? ??? ????",01499
????? ,01499
???? ????????? ,01499
???? ??????,01499
???? ???? ,01499
???? ????,01499
???? ?????,01499
???? ?????? ,01499
???? ????? ,01499
???? ??? ,01499
??????? ,01499
??????? ? ??????? ?????? ???? ????? ????? ?????? ?? ???????,015
?????????,0151
?????????,01510
????? ????????? ,01510
????????? ????????? ,01510
????????? ?????,01510
????????? ??????,01510
????????? ?????? ,01510
???? ??????? ? ??????? ?????? ???? ????? ????? ?????? ?? ???????,0159
????????? ?????,01591
????????? ?????,01591
??????/??????,01592
??????,01592
??????,01592
???/????????? ???? ,01593
????????? ???? ,01593
??? ,01593
"??????? ? ??????? ?????? ???? ????? ????? ?????? ?? ???????? ????????? ???? ?? ??? ????",01599
????,01599
????? ,01599
???? ?????,01599
???? ???????? ,01599
???? ,01599
????????? ????,01599
???? ??? ,01599
??? ??? ,01599
"???? ?????",01599
???????,01599
??????,01599
???????,01599
?????,01599
" ??????? ????? ?????? ? ????????",016
"????? ???  ",0161
"????? ???  ",01610
"????? ???  ",01610
??? ???,0162
??? ???,01620
??? ???,01620
??? ??? ???,0163
??? ??? ???,01630
??? ??? ???,01630
???? ??????,0164
???? ??????,01640
???? ??????,01640
"???????? ? ??????? ????? ?????? ????  ",0165
"???? (??????? ???? ????)? ?????? ???? ",01651
"???? ????? ?????? ???? ",01651
"???? ???? ? ????? ?????? ??? (???? ???????? ???? ??????)? ?????? ???? ",01652
"???????? ???? ????? ??? ?????? ???? ",01652
???? ??? ? ??? ???? ?????? ??? ?????? ??? ?????? ???? ,01652
???? ??? ? ??? ???? ?????? ??? ???? ??????? ?????? ???? ,01652
???? ???????? ??? ?????? ???? ,01652
???? ??????? ??? ?????? ???? ,01652
???? ???? ??? ?????? ???? ,01652
???? ??????? ??? ?????? ???? ,01652
???? ?????????? ??? ?????? ???? ,01652
???? ??????? ??? ?????? ???? ,01652
???? ????? ??? ?????? ???? ,01652
???? ?????? ??? ?????? ???? ,01652
???? ???? ??? ?????? ???? ,01652
???? ???? ??? ?????? ???? ,01652
???? ???? ??? ?????? ???? ,01652
???? ???? ??? ?????? ???? ,01652
"??? ????? ??? ????? ??? ?????? ???? ",01653
"??? ????? ?????? ???? ",01653
??? ???? ????? ? ?????? ????? «??? ????» ?????? ????,01653
?? ?????? ???? ,01653
?? ???? ???? ??????? ?????? ???? ,01653
?? ???? ???? ?????? ?????? ???? ,01653
?? ???? ?????? ???? ,01653
"??????? ??????? ??? ?????? ???? ???? ???? ???? (???? ??????)? ??????? ? ???? ??? ????? ?????? ???? ",01654
????? ?????? (??????) ?????? ???? ,01654
????? ?????? ???? ?????? ???? ,01654
?????? (??????) ?????? ???? ,01654
??? ????? ?????? ???? ,01654
???? ??? ???? ?????? ???? ,01654
??????? ?????? ???? ,01654
???? ??? ?????? ???? ,01654
???? ??? ????? ,01654
???? ???? ?????? ???? ,01654
???? ?????? ?????? ???? ,01654
"?????? (?????)? ?????? ????  ",01655
"?????? (?????)? ?????? ???? ",01655
"?????/???? (???????? ????)? ?????? ????  ",01656
????? ?????? ???? ,01656
???? (???? ????) ?????? ???? ,01656
"??????? ?????? ????                        ",01657
?????? ?????? ???? ,01657
"?????? ?????? ????                       ",01658
????? ?????? ????                      ,01658
????? ????,01659
????? ????,01659
??????,01660
??????,01660
" ??????? ????? ?????? ? ????????",0169
" ??????? ????? ?????? ? ????????",01690
????????? ,01690
????? ,01690
????? ?????? ,01690
????? ,01690
???? ????,01690
?????? ,01690
?????? (????),01690
????? ???? ,01690
??????,01690
?????? ,01690
????? ???????,01690
??????,01690
???? ???,01690
?????????? ,01690
??????,01690
??????? ?????? ,01690
??? ????????? ,01690
??? ??- ?????? ,01690
??? ?????? ,01690
??? ??? ,01690
??? ???? ,01690
??? ???? ,01690
???????? ,01690
?? ????,01690
?????? ,01690
?? ???????,01690
???? ? ???? ????,01690
??? ???? ???? ,01690
??????? ,01690
??? ??????? ????,01690
??? ??? ,01690
??????? ,01690
??? ,01690
???????? ,01690
???? (???? ??????) ,01690
???- ??????,01690
??????,01690
???? ,01690
??????,01690
????? ,01690
?????? ,01690
????? ,01690
????? ? ??? ????? ,01690
????? ???? ,01690
???? ????? ?? ?????,01690
???? ???? ,01690
???? ??? ? ???? ??? ,01690
???? ???? ,01690
???? ????? ,01690
???? ????? ???? (?????? ????) ,01690
???? ????? ,01690
???? ???? ,01690
"???????? ??? ???????",01690
?????? ????,01690
???? ???? ,01690
???? ???? ?????,01690
???? ??? ?????,01690
???? ????? ,01690
??????? (?? ????),01690
????????? ,01690
?????,01690
??? ????? ,01690
???? ? ??? ???? ,01690
?????? ,01690
?????????? ,01690
?????????,01690
????,01690
??? ??? (?? ????),01690
???????,01690
????? ???? ,01690
????? ?????? ,01690
??????? ,01690
?????,01690
????,01690
???? ???? ,01690
?? ????? ,01690
?? ?????? ,01690
?? ????? ,01690
?? ????? ,01690
?? ???? ,01690
?? ???? ,01690
?? ????? ,01690
?? ????? ,01690
?? ??????? ,01690
?? ???? ,01690
?? ?????? ,01690
???? ,01690
???? ,01690
???? ,01690
???? ??? ,01690
???? ????? (??????),01690
????,01690
?????? ,01690
???? ???? ,01690
???? ??? ,01690
???? ???? ??? ,01690
???? ???? ,01690
????? ,01690
????? ???? ,01690
?? ,01690
???? ,01690
???? ,01690
????,01690
????? ,01690
?????? (?????? ?????/?????? ???) ,017
?????? (?????? ?????/?????? ???) ,0170
????? (???),01701
????? ?????,01701
???? ?????,01701
????? ??? ????? (???? ???),01701
????? ???? (???? ???),01701
????? ???? (???? ???),01701
????? ???? (???? ???),01701
?????? ???????,01701
?????? ???? ,01701
?????,01701
"?????? ???",01702
????? ????? ???,01702
????? (???),01702
"????? ???",01703
????? ???? ??? ,01703
???? ?????? (???? ???),01703
???? ???? ??? ,01703
"???? ???",01704
"???? ???",01704
"???? ???? ???",01705
"???? ???? ???",01705
"??????? ????????? ???? ?? ??? ????",01709
???- ?????? ,01709
??? ??????,01709
??? ?????? ,01709
??????? ???? ??? ,018
??????? ???? ??? ,0180
????? ???,01801
????? ?????,01801
????? ?????? ,01801
????? ???? ,01801
????? ????? ,01801
?????,01802
????? ,01802
??? ????? ???,01803
??? ????? ?????,01803
??? ????? ??????,01803
??? ????? ???,01803
??? ????? ?????,01803
???? ??????? ???? ??? ,01809
????? ???? ,01809
?????? ?????  ,01809
"??????? ????????? ?????? ?????? ????? ?? ???? ????? ? ???? ??? ????? ? ?????? ?????? ???? ? ?????? ?????",019
??????? ????????,0191
??? ???????? ????? ????? ? ????? ??????? ,01911
??? ???????? ????? ????? ? ????? ??????? ,01911
????? ???????? ????? ????? ? ????? ??????? ,01912
????? ???,01912
????? ???????? ????? ????? ? ????? ??????? ,01912
????? ??????,01912
????? ????????,01912
????? ??????,01912
????? ????,01912
????? ???????,01912
"??? ????? ????? ?????? ????? ??? ???? ????? ???? ?? ??????? ???",01913
???? ??? ???,01913
???? ?????? ????,01913
"???? ????? ???? ?? ??????? ???",01913
??? ????,01913
"??????? ????????? ????????? ???? ?? ??? ????",01919
?????,01919
?????? ???????? ,01919
?????????????,01919
???,01919
??? ????????,01919
"??????? ????????",01919
????,01919
???? ?????,01919
???? ????,01919
???? ?????,01919
???? ????,01919
???? ????,01919
???? ????,01919
?????????? ,01919
"???? ?????? ????????",01919
"????? ????????",01919
??? ???,01919
????? ????? ,01919
??? ???????? ,01919
??????? ????????,01919
????? ????,01919
????,01919
??????? ???????? ,01919
"????? ????????",01919
??????? ??????,0192
"????? ??? ??? ?? ??? ????",01921
???? ??? ??? ,01921
???? ??? ????,01921
"???? ??? ? ???? ????????? ????? ?????? ??? ?? ???????? ??? (?? ??)? ????? ????? ???????? ? ???? (??? ????) ",01922
??? ??? ,01922
??? ??? ???? ?? ??,01922
"???? ????????? ????? ????? ??? ????? ????? ???????? ? ???? ",01922
??? ??? ,01922
??? ??? ???? ?? ??,01922
"???? ??????? ??????? ???????? ????? ????????? ???? ?? ??? ????",01929
"?????? ??? ?????",01929
???????  ,01929
????? ??????,01929
????? ????? ??????,01929
????? ??? ??? ,01929
????? ????,01929
 ????? ????/ ?????????,01929
???? ?????? ,01929
???? (??? ????),01929
???? ????? ???? ????? ??????? ??? ,01929
????? ? ???? ????? ???? ?? ???? ???? ,01929
???????? ??? ?? ??????? ??? ,01929
???????? ????? ????? ,01929
?????,01929
"????? ???? ?? ?????? ? ????? ???? ???",01929
??? ????????,01929
"??? ???? ???? ?? ?????? ? ????? ???? ???",01929
??? ??? ,01929
??? ??????,01929
"?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ???? ????? ???????? ??????? ? ????? ????? ",0193
"?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ???? ????? ???????? ??????? ? ????? ????? ",01930
?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ???????,01930
?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ??????? ? ????? ????? ,01930
?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ????,01930
?????? ? ??????? ????? ?????? ???? ??????? ?? ????? ???,01930
??? ????? (????? ??? ????? ???) ? ??? ?????? ???????? ,0194
??? ????? (????? ??? ????? ???) ? ??? ?????? ???????? ,01940
?????- ???,01940
?????? ????????- ???,01940
??? ?????,01940
??? ????? ?????,01940
??? ?????? ????????,01940
??? ????? ????????,01940
??? ??? ????????,01940
??? ???? ????? ?????,01940
??? ?????? ????????,01940
??? ????,01940
??? ???? ????,01940
??? ??? ????????,01940
??? ?????,01940
"?????? ????? ?? ??? ????? ?? ??????? ???? (????)? ??? ?? ????",0195
"?????? ????? ?? ??? ????? ?? ??????? ???? (????)? ??? ?? ????",01950
?????? ????? ?? ??? ????? ,01950
"?????? ????? ?? ??? ????? ?? ??????? ????? ??? ?? ????",01950
???? ????? ?? ?????????? ? ???? ??? ??? ??,0196
"???? ????? ????? ??? ? ????? ????/?????? ??? ????",01961
??????,01961
??????,01961
??????,01961
??????????,01961
?????,01961
?????????,01961
????????,01961
????????,01961
????? ??????,01961
???????,01961
????? ???? ?? ,01961
????? ???? ???? ,01961
"????? ?????? ????? ??? ??? ??? ????",01961
????? ???????,01961
????? ???? ?? ,01961
????? ???? ???? ,01961
"????? ??? (???? ?????? ?...)",01961
????? ????,01961
????? ???,01961
????? ??? ?? ,01961
????? ??? ???? ,01961
????? ???,01961
????? ??????,01961
????? ?? ,01961
????? ?? ?????,01961
????? ?????? ?????????,01961
????? ??? ?????,01961
????? ???? ?? ,01961
????? ???? ???? ,01961
??? ????? ??????,01961
??? ??,01961
??????,01961
????? ????????,01961
????? ????,01961
????????,01961
????,01961
????? ?????,01961
???? ???? ?????? ,01961
??? ???????????,01961
??? ?????,01961
??? ????,01961
??? ???????,01961
??? ??????,01961
??????? ?????,01961
???????,01961
????? ???? ,01961
????,01961
???????,01961
?????????,01961
?????? ? ?????????? ?????,01961
?? ???????,01961
????????,01961
???? ????,01961
???? ?????,01961
????????,01961
???? ????? ??? ????? ??????,01961
???? ????? ???????? ????? ?????????,01961
???? ?????? ?????,01961
?????,01961
?????,01961
???? ?? ,01961
???? ???? ,01961
?????,01961
?????,01961
?????????,01961
???????,01961
?????,01961
??????????,01961
???? (?????? ?????),01961
???? ?? ,01961
???? ???? ,01961
????????,01961
???????,01961
????????,01961
?? ????,01961
?? ??????,01961
?? ??????,01961
?? ?????,01961
?? ??????,01961
?? ?????????? ?????,01961
?? ??? ????,01961
?? ?????,01961
?? ??????,01961
?? ??,01961
?? ???? ????,01961
?? ????,01961
?? ?????,01961
?? ?????,01961
?? ??????,01961
?? ????,01961
?? ??? ????,01961
?? ?? ??,01961
?? ??????,01961
?? ?????,01961
?? ????,01961
?? ???? ????,01961
